week,energy_per_day,day_count,energy_per_day_std,energy_uncert_hi,energy_uncert_lo
2019-01-01/2019-01-07,323.23711929549296,7,235.1847230945926,558.4218423900855,88.05239620090035
2019-01-08/2019-01-14,559.5618799116558,7,496.34702993603236,1055.9089098476882,63.214849975623395
2019-01-15/2019-01-21,363.8945259740021,7,185.99685209071745,549.8913780647196,177.89767388328463
2019-01-22/2019-01-28,500.5823050674685,7,400.27394888463056,900.856253952099,100.30835618283794
2019-01-29/2019-02-04,416.3204323463885,7,429.64719794124716,845.9676302876356,-13.32676559485867
2019-02-05/2019-02-11,631.4699029334026,7,562.05397306034,1193.5238759937426,69.41592987306262
2019-02-12/2019-02-18,284.18066587019666,7,182.48532909644987,466.6659949666465,101.69533677374679
2019-02-19/2019-02-25,546.1643450943292,7,511.6708706016297,1057.8352156959588,34.49347449269948
2019-02-26/2019-03-04,1267.1384073481927,7,486.249008345271,1753.3874156934637,780.8893990029217
2019-03-05/2019-03-11,802.7167456987261,7,595.1991219039154,1397.9158676026414,207.51762379481067
2019-03-12/2019-03-18,1152.7820456525128,7,272.7805818796776,1425.5626275321904,880.0014637728352
2019-03-19/2019-03-25,1020.9610113310528,7,355.4575064224301,1376.4185177534828,665.5035049086227
2019-03-26/2019-04-01,1149.9075494128265,7,164.65191821422334,1314.5594676270498,985.2556311986032
2019-04-02/2019-04-08,690.4724867302101,7,283.3542143292959,973.826701059506,407.1182724009142
2019-04-09/2019-04-15,679.942826192669,7,330.04259549596765,1009.9854216886367,349.9002306967014
2019-04-16/2019-04-22,665.1659566728001,7,305.2040567091677,970.3700133819677,359.96189996363245
2019-04-23/2019-04-29,1234.1217729534667,7,222.62217850656145,1456.7439514600283,1011.4995944469052
2019-04-30/2019-05-06,1282.1544709906177,7,226.13962107030892,1508.2940920609267,1056.0148499203087
2019-05-07/2019-05-13,1239.269129305993,7,150.31588056278912,1389.585009868782,1088.9532487432039
2019-05-14/2019-05-20,816.8020123498982,7,321.1864563538135,1137.9884687037118,495.61555599608465
2019-05-21/2019-05-27,889.8506079143434,7,412.02034617029017,1301.8709540846335,477.83026174405325
2019-05-28/2019-06-03,993.8075413156588,7,206.53052508367554,1200.3380663993344,787.2770162319832
2019-06-04/2019-06-10,1096.7915067319543,7,207.66513364108104,1304.4566403730353,889.1263730908732
2019-06-11/2019-06-17,1117.407074366142,7,115.57571786054156,1232.9827922266836,1001.8313565056005
2019-06-18/2019-06-24,799.3529848740245,7,308.70349337026727,1108.0564782442918,490.64949150375725
2019-06-25/2019-07-01,1119.9354560376253,7,174.9873031165267,1294.922759154152,944.9481529210985
2019-07-02/2019-07-08,656.4299264774262,7,269.5576700614628,925.987596538889,386.8722564159634
2019-07-09/2019-07-15,863.4956021815717,7,331.75556543600044,1195.2511676175723,531.7400367455713
2019-07-16/2019-07-22,1120.9021436293538,7,293.6048835247852,1414.507027154139,827.2972601045685
2019-07-23/2019-07-29,1077.3171438138322,7,364.4540024168988,1441.7711462307311,712.8631413969334
2019-07-30/2019-08-05,1230.9374574312533,7,138.5257991492149,1369.4632565804682,1092.4116582820384
2019-08-06/2019-08-12,928.7846102891823,7,264.8182178232786,1193.6028281124609,663.9663924659037
2019-08-13/2019-08-19,1001.8808090433,7,299.2396287189561,1301.1204377622562,702.6411803243438
2019-08-20/2019-08-26,1021.7206932475132,7,271.1295518871532,1292.8502451346662,750.59114136036
2019-08-27/2019-09-02,1057.0362184168011,7,297.19512638032575,1354.231344797127,759.8410920364754
2019-09-03/2019-09-09,858.9402102942756,7,354.51708780153376,1213.4572980958094,504.42312249274187
2019-09-10/2019-09-16,736.4446810707278,7,418.70822763932983,1155.1529087100575,317.736453431398
2019-09-17/2019-09-23,568.6832051404207,7,377.7604835275689,946.4436886679896,190.92272161285177
2019-09-24/2019-09-30,921.6958515258975,7,298.18114163155246,1219.87699315745,623.5147098943451
2019-10-01/2019-10-07,862.2827968840973,7,399.71885159609695,1262.0016484801943,462.5639452880003
2019-10-08/2019-10-14,951.4639104142594,7,463.91548335701407,1415.3793937712735,487.54842705724536
2019-10-15/2019-10-21,221.5013925150322,7,118.36474593364055,339.86613844867276,103.13664658139164
2019-10-22/2019-10-28,821.1592052468446,7,490.9581983953494,1312.117403642194,330.2010068514952
2019-10-29/2019-11-04,1043.8914375655138,7,292.94172074332107,1336.8331583088348,750.9497168221927
2019-11-05/2019-11-11,550.5748375664477,7,294.14471994901186,844.7195575154597,256.4301176174359
2019-11-12/2019-11-18,272.4895656384635,7,250.9545015245894,523.4440671630529,21.535064113874085
2019-11-19/2019-11-25,686.3770602271182,7,358.9347216151527,1045.3117818422709,327.44233861196557
2019-11-26/2019-12-02,802.8792968372309,7,408.0812034628714,1210.9605003001022,394.7980933743595
2019-12-03/2019-12-09,245.34234618150793,7,107.12118668160053,352.46353286310847,138.2211594999074
2019-12-10/2019-12-16,160.09567702315888,7,167.61962575996174,327.7153027831206,-7.523948736802851
2019-12-17/2019-12-23,100.04161006113857,7,110.37302819034065,210.41463825147923,-10.331418129202078
2019-12-24/2019-12-30,271.9836574903626,7,215.7589371850524,487.742594675415,56.2247203053102
